000049	00	81	<A9>い　　　　　ぴ　　　　　　　ぴ　　　　　　　ぴ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　	<A9>b     <D9>       <D9>       <D9><E5><CD><2A>g<F5><C5><D5><E5><F8>h<2A><66><6F>qp yq<43><3E>a<D0> <CD><2A>g<E1><D1><C1><F1><33><33><C9>                        	00
00012F	00	47	<9F>ぢぞァキタサみスサモみタネトネホみょ　　サょううえい　ァ　ごらづ<F3><AF><EA><ED>ブ<F3><FA><ED>ブリ<AF>ペそペ	<9F><BB><B9><33><3E><47><42><20><44><42><5A><20><47><4F><4B><4F><55><20><32>  <42><32>c<1B>eb <33> <9B><67><8F><F3><AF><EA><ED><D5><F3><FA><ED><D5><5F><AF><E0>o<E0>	FF
000A66	00	28	び<F5>キうゲ<FA>どぶオアあ<AF>ち　ケゾべか<F1>アいベびゾべか・<EA>	<C0><F5><3E><21><C7><FA><BE><C1><3C><38>a<AF>q <40><CD><C2>f<F1><38>b<D6><C0><CD><C2>f…<EA>	A8
000FB2	00	47	せあゾ<E9>さ<F5>ゾゴしゾ<A1>き<E7><AF><EA><A2>ぶ<F1><A7>ザノ<9C>ううはい　　　　いいえぶいあュ８！ぶいあねり！ち<96>	na<CD><E9>k<F5><CD><C8>l<CD><A1>g<E7><AF><EA><A2><C1><F1><A7><C9><50><9C>ccyes   no <C1>ba<68>8!<C1>bax<28>!q<96>	FF
001DAA	00	37	ー<F1>ぼ<F1>にキこゲゾ<F1>かヂザ<AF>むどへぼ<EB>しゴゼネキうゲ９ちケケゾきさェ　もェ	<6F><F1><C3><F1>v<3E>j<C7><CD><F1>f<CF><C9><AF><21><BE><1D><C3><EB>l<C8><CC><4F><3E><21><C7>9q<40><40><CD>gk<36> <23><36>	FE
00212E	00	8	ブルマのかくれが	hideout 	FE
00213B	00	15	だせべつのきをかんじたほうこう	<BA>nother ki dir 	FE
00217D	00	15	ぜせフリーザのむかったほうこう	<B8>nfreeza went  	FE
0021A0	00	10	きをかんじるほうこう	ki nearby 	FE
002575	00	50	ゾー３<AF>ペ<9D>む<A0><89>ゾズけゾ<F7>せむ　<90>キケゾピたゾれきキあゾニ２キあゲザ<FA><AE>パタ<87><80>むね。ゾ<8B>かゾヲを	<CD><6F>3<AF><E0><9D><21><A0><89><CD><CB>i<CD><F7>n<21> <90><3E><40><CD><DE>p<CD><61> <3E>a<CD><4D>2<3E>a<C7><C9><FA><AE><DD><47><87><80><21>x<7C><CD><8B>f<CD><64><2D>	F5
003682	00	45	ゾんォせねゾきッゾピェせおむォ<9D>ゾサくキうゲ<F0><8C>ちケケゾぽこむべぼ<E5>キ<9D>めキ<8E>めキおめネゾ	<CD><2E><37>nx<CD>g<66><CD><DE><36>ne<21><6E><9D><CD><42>h<3E><21><C7><F0><8C>q<40><40><CD><DC>j<21><C2><C3><E5><3E><9D><22><3E><8E><22><3E>e<22><4F><CD>	F1
